# x,y
-0.5237,0.8448
0.2002,0.9865
-0.4794,0.8188
0.5155,0.9515
1.8891,0.1536
0.7237,0.5227
-0.1653,0.9715
-0.4618,0.7250
0.8583,0.5702
-0.4081,0.8518
-0.3161,0.9757
1.9361,0.2719
0.4051,-0.3565
0.7005,-0.4988
0.0882,0.0295
1.9663,0.1319
1.0553,0.0328
0.2160,-0.1829
-0.9560,0.1975
1.4558,-0.2712
0.5842,0.7928
0.8991,0.4719
1.3284,-0.3686
0.7130,0.7754
1.1539,-0.4788
0.8641,-0.5040
-0.8400,0.5750
-0.2346,0.8647
1.3379,-0.5032
-0.9774,0.2204
1.8398,0.3048
-0.8855,0.4297
0.5709,-0.4091
1.0068,0.0543
-0.8240,0.5202
0.0705,1.0469
1.5628,-0.3999
-0.3593,0.9989
0.0693,0.3209
0.8292,0.6164
-0.8754,0.4741
0.2030,0.9802
0.5458,0.7248
0.2414,-0.1135
2.0244,0.5045
0.2653,1.0456
0.1096,0.9390
-0.0259,0.3149
1.8306,-0.0663
0.8766,0.6088
0.5806,0.9265
0.8877,0.5695
-0.1009,0.9532
0.1518,0.1058
-0.5244,0.9613
-1.0114,0.1972
-0.8372,0.5846
-0.9299,0.5435
0.8138,0.5949
1.3029,-0.5087
0.2669,-0.2204
-0.6348,0.7153
-0.9513,0.3403
1.9687,0.1749
0.9425,0.0517
-0.5229,0.8429
1.7896,-0.0719
-0.0215,0.9315
1.9181,0.1215
1.9055,-0.0093
-0.3011,0.8531
1.9820,0.3889
0.6231,-0.3945
0.0084,0.3006
1.0987,0.0860
-0.9888,0.3113
-0.9365,0.1880
-0.9782,0.4308
0.8279,-0.3864
1.0025,0.2059
-0.9391,0.2001
-0.2103,0.9403
-0.7194,0.7793
-0.9812,0.0581
1.9961,0.3469
1.2370,-0.4532
-0.5544,0.8012
0.1308,0.1897
-0.9354,0.4686
0.3930,-0.4218
0.7205,0.6259
-0.8262,0.6794
1.8242,-0.0808
0.5448,0.8951
0.9195,0.4948
0.0331,0.9657
-0.3074,0.9527
-0.8170,0.6091
1.1280,-0.5145
0.7613,0.5637
0.7863,0.4339
0.8189,-0.4455
-0.6177,0.7023
0.7644,-0.4130
1.8479,-0.0016
-0.8721,0.4230
0.5217,0.8769
0.9180,-0.4903
1.9419,0.3012
0.4478,0.9383
0.9409,-0.3529
0.5663,0.7897
1.7421,-0.1101
1.0222,-0.4137
0.0559,0.3860
0.6099,0.6906
1.0295,0.3759
-0.6539,0.8120
0.1623,1.0438
0.0464,1.0207
1.7255,-0.2230
-0.3851,0.8917
-0.9549,0.1368
-1.0835,0.0803
0.7596,-0.4231
0.3801,-0.2371
0.9134,-0.5661
0.0542,0.4158
1.0208,0.2847
1.0556,0.4202
0.9512,0.2202
-0.9450,0.2719
2.0648,0.3203
0.8170,-0.4699
